recommendationid,appid,game,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
53351247,10,Counter-Strike,russian,"Хороший шутан, графон, для тех времён - это нормально, Рекомендую",1562159590,1562159590,1,1,0,0.523809552192688,0,1,0,0,0,
53358056,10,Counter-Strike,english,WHY the screen is so smalll i just fix it from settings it still small PLEASE heLp,1562162469,1573662868,1,0,0,0.47826087474823,0,1,0,0,0,
53361012,10,Counter-Strike,spanish,Muy pero muy buen juego,1562163639,1562163639,1,0,0,0.0,0,1,1,0,0,
53363549,10,Counter-Strike,portuguese,mano joga ai,1562164605,1562164605,1,0,0,0.0,0,1,0,0,0,
53363801,10,Counter-Strike,russian,ПРИКОЛЬНА ВАПЩЕ ИГРАТЬ МОЖНА НО НИ ДОЛГА ПАТАМУШТА ПАТОМ СЕРВЕР ПЕРЕЗАГРУЖАЕТСЯ,1562164706,1562164706,1,0,0,0.0,0,1,0,0,0,
53364009,10,Counter-Strike,portuguese,MUITO BOM!!,1562164790,1562164790,1,0,0,0.0,0,0,0,0,0,
53382946,10,Counter-Strike,portuguese,so rasgar paredes parece papel,1562172301,1562172301,1,0,0,0.0,0,1,0,0,0,
53385453,10,Counter-Strike,russian,"Итак, что же такое ?  - это когда тебя выгоняют только потому что ты Русский.  Все это CS !",1562173281,1562173281,0,0,0,0.0,0,0,0,0,0,
53386217,10,Counter-Strike,spanish,nana buenisimo solo lo hago para los puntovichs,1562173582,1562173582,1,0,0,0.0,0,0,0,0,0,
53388251,10,Counter-Strike,russian,"Я мог бы выпить море, я мог бы стать другим",1562174280,1562174280,1,0,0,0.0,0,1,0,0,0,
53400148,10,Counter-Strike,english,Blue squares everywhere and game was extremely laggy.,1562178856,1562178856,0,0,1,0.476190477609634,0,1,0,0,0,
53405145,10,Counter-Strike,russian,"Всем советую прикольная игра, прикольный шутер.",1562180841,1562180841,1,1,0,0.517241418361664,0,1,0,0,0,
53429137,10,Counter-Strike,brazilian,Aquele raiz que faz qualquer um passar horas !!,1562190952,1562190952,1,0,0,0.0,0,1,0,0,0,
53433564,10,Counter-Strike,schinese,按了一个视频功能，界面变大，无法设置回来，也无法运行游戏，哪位大神帮帮忙啊！,1562193330,1562193330,1,0,0,0.0,0,1,0,0,0,
53435151,10,Counter-Strike,brazilian,Melhor jogo já desenvolvido pela Valve,1562194212,1562194212,1,1,0,0.523809552192688,0,1,0,0,0,
53442890,10,Counter-Strike,spanish,ME DIÓ MUCHA NOSTALGIA VOLVER A JUGAR EL CS1.6,1562198939,1562198939,1,1,0,0.0,0,1,0,0,0,
53444410,10,Counter-Strike,english,its for boomers,1562199975,1562199975,1,0,0,0.0,0,1,0,0,0,
53448220,10,Counter-Strike,brazilian,toppp!!!,1562202497,1562202497,1,0,0,0.0,0,0,0,0,0,
53466471,10,Counter-Strike,english,if you wont to fight fight to will style,1562215720,1562215720,1,0,0,0.0,0,0,0,0,0,
53484426,10,Counter-Strike,english,HAX4LIFE,1562229027,1562229027,1,3,0,0.54356849193573,0,0,0,0,0,
53484777,10,Counter-Strike,russian,хорошо по настольгировать,1562229271,1562229271,1,0,0,0.0,0,1,0,0,0,
53485106,10,Counter-Strike,schinese,太久没玩 都射不准了 那些外挂好厉害。。。,1562229477,1562229477,1,0,0,0.0,0,1,0,0,0,
53497321,10,Counter-Strike,russian,"классека, а не игра :)",1562236980,1562236980,1,0,0,0.0,0,1,0,0,0,
53497622,10,Counter-Strike,russian,"Спасибо, что хотя бы это тянет мой комп ",1562237161,1562237161,1,0,0,0.476190477609634,0,1,0,0,0,
53504105,10,Counter-Strike,english,Nothing to say,1562240859,1562240859,1,0,0,0.0,0,1,0,0,0,
53504175,10,Counter-Strike,russian,"Старая добрая контра. До сих пор живее всех живых. Пока другие игры рождаются и  умирают, кс 1.6 нашла источник вечной молодости :)",1562240899,1578770830,1,0,0,0.476190477609634,0,1,0,0,0,
53513443,10,Counter-Strike,russian,Legend!!!!!!!!!,1562245903,1562245903,1,0,0,0.0,0,1,0,0,0,
53513882,10,Counter-Strike,english,GOOD GAME !,1562246118,1562246118,1,0,0,0.0,0,1,0,0,0,
53522735,10,Counter-Strike,english,Muito bom mas os server br tem awp bugada ,1562250464,1562250464,1,0,0,0.0,0,1,0,0,0,
53524186,10,Counter-Strike,english,cs 1.6 is love <3,1562251086,1562251086,1,1,0,0.523809552192688,0,1,1,0,0,
53524336,10,Counter-Strike,russian,Очень классная и офигенная игра! Пойду в кс го поиграю.,1562251158,1562251158,1,1,0,0.523809552192688,0,1,0,0,0,
53525996,10,Counter-Strike,brazilian,"melhor jogo,e bem antigo,mais nao tem problema,recomendo muito.",1562251935,1562251935,1,0,0,0.0,0,1,0,0,0,
53531532,10,Counter-Strike,english,"ah shit , here we 1.6 again",1562254478,1562254478,1,0,0,0.0,0,0,0,0,0,
53535017,10,Counter-Strike,russian,"Эта игра предназначена для тех, кто просто хочет понастальгировать, или же просто вспомнить то, с чего всё начиналось",1562256007,1562256007,1,0,0,0.0,0,1,0,0,0,
53560304,10,Counter-Strike,russian,Не плохая игра рекомендую класика.,1562266724,1562266724,1,1,0,0.523809552192688,0,1,0,0,0,
53563806,10,Counter-Strike,spanish,vip,1562268267,1562268267,1,0,0,0.0,0,1,0,0,0,
53566222,10,Counter-Strike,english,keep in memory,1562269359,1562269359,1,1,0,0.523809552192688,0,1,0,0,0,
53570686,10,Counter-Strike,turkish,cs go ya göre candır canD :DSAD,1562271424,1562271424,1,0,0,0.0,0,1,0,0,0,
53576137,10,Counter-Strike,brazilian,ssaf,1562274167,1562274167,1,0,0,0.0,0,1,0,0,0,
53578048,10,Counter-Strike,english,"This game still holds up despite having outdated graphics and outdated shooting controls. It truly shows that gamers just want to play and they don't always care about graphics or abilities, but true competition.",1562275172,1562275172,1,0,0,0.0,0,1,0,0,0,
53578239,10,Counter-Strike,turkish,dfsfssfds,1562275281,1562275281,1,0,0,0.0,0,1,0,0,0,
53579079,10,Counter-Strike,russian,слезинка,1562275727,1562275727,1,0,0,0.0,0,1,0,0,0,
53582449,10,Counter-Strike,brazilian,A lenda dos jogos eletronicos !,1562277644,1562277644,1,0,0,0.0,0,0,0,0,0,
53583941,10,Counter-Strike,spanish,Me gusta todo del cs 1.6 es muy lindo y se pasa un buen rato jugando Y ES EL MEJOR,1562278558,1575216079,1,1,0,0.523809552192688,0,0,0,0,0,
53587554,10,Counter-Strike,turkish,OYUNLARIN ALLAHIDIR,1562280937,1562280937,1,0,0,0.0,0,1,0,0,0,
53588726,10,Counter-Strike,polish,"Mimo tego że w grze przy strzelaniu liczy się odrobina szczęścia, to i tak nadal czerpię z niej przyjemność! Dla mnie jest w niej coś specjalnego nawet po tylu latach. Warto powrócić czasem do klasyków.",1562281776,1562281786,1,0,0,0.0,0,1,0,0,0,
53591008,10,Counter-Strike,latam,q buen juego,1562283408,1562283408,1,1,0,0.523809552192688,0,1,0,0,0,
53591033,10,Counter-Strike,english,Great game <3,1562283424,1562283424,1,0,0,0.0,0,0,1,0,0,
53593080,10,Counter-Strike,english,Always fun to go back and play this game.,1562284983,1562284983,1,0,0,0.0,0,1,0,0,0,
53593127,10,Counter-Strike,english,shoot gun kill man,1562285019,1562285019,1,0,0,0.0,0,1,0,0,0,
53599856,10,Counter-Strike,russian,Деды накричали и попросили завалить еб@ло мажору со Стим версией.,1562290413,1562290413,1,1,0,0.523809552192688,0,1,0,0,0,
53605466,10,Counter-Strike,brazilian,"Um game que mesmo tendo quase 20 anos, ainda é muito bom!",1562294976,1562294976,1,0,0,0.0,0,1,0,0,0,
53614197,10,Counter-Strike,english,yeah it's cool,1562301991,1592591977,1,0,0,0.0,0,1,0,0,0,
53615628,10,Counter-Strike,spanish,Un clasico de clasicos ♥,1562303154,1562303154,1,0,0,0.0,0,1,0,0,0,
53619781,10,Counter-Strike,polish,bardzo ładnie :),1562306621,1562306621,1,0,0,0.0,0,1,0,0,0,
53622312,10,Counter-Strike,english,many memorable moments in this game <3 truly addicted,1562308774,1574894453,1,0,0,0.0,0,0,0,0,0,
53628009,10,Counter-Strike,russian,"Классика, которая вызывает ностальгию.",1562313138,1562313138,1,0,0,0.0,0,1,0,0,0,
53634955,10,Counter-Strike,english, Pathetic CS GO knockoff,1562318068,1652005719,1,1,0,0.523809552192688,0,1,0,0,0,
53640526,10,Counter-Strike,russian,"Ужасное чувство, когда играешь на одном сервере больше месяца, но тупой лоускильный админ банит тебя навсегда...",1562321583,1623423983,1,2,1,0.545454561710358,0,1,0,0,0,
53643127,10,Counter-Strike,greek,Memories of this game are out of this world ,1562323209,1562323209,1,0,0,0.0,0,1,0,0,0,
53644588,10,Counter-Strike,russian,Кс ван лав,1562324063,1562324063,1,0,0,0.475272953510284,0,0,0,0,0,
53649460,10,Counter-Strike,czech,Uhněte! Házím granát!,1562326976,1562326976,1,0,1,0.0,0,1,0,0,0,
53652434,10,Counter-Strike,russian,"ЭТО КЛАССИКА, ЭТО ЗНАТЬ НАДО",1562328699,1562328699,1,0,0,0.0,0,1,0,0,0,
53652760,10,Counter-Strike,hungarian,Kiégek rajta de csak ajánlani tudom,1562328878,1562328878,1,1,0,0.519999980926514,0,1,1,0,0,
53660687,10,Counter-Strike,russian,My opinion about the game is very positive . When the COP was overrun by cheaters to play in 1.6 is a pleasure . I advise everyone to play ! Ruble it for a very long time and I have more than one account with 1.6 . Good luck gamer),1562333203,1562333203,1,0,0,0.0,0,0,0,0,0,
53666606,10,Counter-Strike,koreana,이게임은 정말 최고의 게임성을 가진 밸브의 게임입니다 진짜 밸브는 최고이고 게임이 정말 재밌습니다 이게임이 나온지 오래됬음에도 불구하고 카스글옵에 맞먹는 게임성을 가졌습니다 good game wow ...,1562336207,1562336207,1,0,0,0.474137902259827,0,1,0,0,0,
53669807,10,Counter-Strike,brazilian,muito bom adorei relembrar os tempos de lan!,1562337781,1562337781,1,0,0,0.0,0,1,0,0,0,
53671935,10,Counter-Strike,english,2019 and still awesome....,1562338873,1562338873,1,0,0,0.0,0,0,0,0,0,
53673712,10,Counter-Strike,russian,как майнкрафт только 4d,1562339756,1562339756,1,0,0,0.0,0,1,0,0,0,
53674298,10,Counter-Strike,russian,Дааа...было время...,1562340048,1562340048,1,1,0,0.523809552192688,0,0,0,0,0,
53678347,10,Counter-Strike,turkish,Zamanın en iyi oyunu,1562341962,1562341962,1,1,0,0.523809552192688,0,1,0,0,0,
53681255,10,Counter-Strike,english,its pretty gucci,1562343401,1562343401,1,0,0,0.0,0,1,0,0,0,
53686866,10,Counter-Strike,english,A Throwback hits :) I wish this game still have such a huge community like those days,1562346189,1562346189,1,0,0,0.0,0,1,0,0,0,
53687224,10,Counter-Strike,spanish,Los buenos videojuegos nunca mueren,1562346351,1562346351,1,0,0,0.0,0,1,0,0,0,
53689492,10,Counter-Strike,hungarian,very epic,1562347483,1562347483,1,0,0,0.0,0,1,0,0,0,
53691744,10,Counter-Strike,russian,Ля какой игра,1562348678,1562348678,1,0,0,0.0,0,1,0,0,0,
53696804,10,Counter-Strike,spanish,"FUCKING GAME, I LOVE ♥♥♥♥",1562351395,1562351395,1,0,0,0.0,0,0,0,0,0,
53697782,10,Counter-Strike,russian,"Самая лучшая реклама ""Беслана""",1562351915,1606535382,1,0,0,0.0,0,1,0,0,0,
53697909,10,Counter-Strike,brazilian,Gamerboy,1562351976,1562351976,1,0,0,0.0,0,0,0,0,0,
53698033,10,Counter-Strike,brazilian,hahah cheater,1562352040,1562352040,1,0,0,0.0,0,0,0,0,0,
53698865,10,Counter-Strike,brazilian,Esse jogo é uma Lenda,1562352490,1562352490,1,1,0,0.523809552192688,0,1,0,0,0,
53699352,10,Counter-Strike,brazilian,Nice Shot,1562352746,1562352746,1,0,0,0.0,0,0,0,0,0,
53699890,10,Counter-Strike,brazilian,Shot GOD,1562353042,1562353042,1,0,0,0.0,0,0,0,0,0,
53700825,10,Counter-Strike,polish,Swietna gra bardzo polecam nie jest droga a badzo fajnie sie gra latwo sie nauczyc ciekawe tryby polecam kazdemu !,1562353540,1562353540,1,5,0,0.573770523071289,0,1,0,0,0,
53723945,10,Counter-Strike,russian, nais ,1562367992,1562367992,1,0,0,0.0,0,1,1,0,0,
53732681,10,Counter-Strike,tchinese,好遊戲 歷久不衰!,1562375247,1562375247,1,0,0,0.0,0,0,0,0,0,
53736673,10,Counter-Strike,brazilian,sohack,1562378703,1562378703,0,0,0,0.0,0,1,0,0,0,
53739114,10,Counter-Strike,english,"This is a timeless classic. Still better then CSGO, and I paid money for CSGO before it became free cancer.",1562380840,1562380840,1,0,0,0.0,0,1,0,0,0,
53741849,10,Counter-Strike,spanish,Los servers ya estan vacíos :c,1562383214,1562383214,1,0,0,0.0,0,1,0,0,0,
53742166,10,Counter-Strike,schinese,再老的游戏，也有他的情怀，再好的游戏，也避免不了外g的侵略,1562383486,1562383486,1,0,0,0.0,0,1,0,0,0,
53770115,10,Counter-Strike,romanian,nu cred,1562406329,1562406329,1,0,0,0.0,0,0,1,0,0,
53770596,10,Counter-Strike,russian,"Задания с распродажи,  Достаточно сложная стрельба, попасть из какай-нибудь винтовки в далеке почети не возможно. Но а так игра нормальная, просто время требует по-больше.",1562406648,1562406648,1,0,1,0.0,0,1,0,0,0,
53776415,10,Counter-Strike,russian,"ПОМОЙКА, А ТУТ Я С В НАМИ В НЕЕ ИГРАЮ В ПОМОЙКЕ МОЙ ДОМ Я ТАМ ЖИВУ",1562410452,1562410452,1,0,0,0.0,0,1,0,0,0,
53783318,10,Counter-Strike,russian,Сказать честно- это самый лучший шутер наших старых времен!!!!! При покупке Counter Strike вы на многих пабликах сможете получать всякие прикольные бонусы. Короче ностальгия.,1562414499,1565217450,1,1,0,0.476190477609634,0,0,0,0,0,
53784759,10,Counter-Strike,brazilian,melhor cs que ja foi feito saudades boa epoca...,1562415330,1562415330,1,1,0,0.0,2,1,0,0,0,
53793111,10,Counter-Strike,japanese,Это великая играю я ее люблю всем сердцем,1562420255,1562420255,1,3,0,0.558823525905609,0,1,0,0,0,
53795500,10,Counter-Strike,romanian,MPM;IEDA,1562421583,1562421583,1,0,0,0.0,0,0,0,0,0,
53796118,10,Counter-Strike,russian,игра крутая хоть мне 12 лет я иногда играю кс 1.6,1562421922,1562421922,1,0,0,0.0,0,1,0,0,0,
53807215,10,Counter-Strike,english,"Spent so much time of my life grinding CS 1.6 in my teenage years, and I wouldn't change it at all.  So many friends made and great times had.",1562427856,1562427856,1,0,0,0.0,0,1,0,0,0,
53808270,10,Counter-Strike,turkish,Hala türk sunucu ve oyuncuların devamlı oynadığı oyunlardan biridir ucuzken kütüphanenizde bulunması gereken oyunlardan biridir,1562428391,1562492450,1,0,0,0.476190477609634,0,1,0,0,0,
53809952,10,Counter-Strike,turkish,efsanelerden ya,1562429305,1562429305,1,0,0,0.0,0,1,0,0,0,
53810699,10,Counter-Strike,turkish,nıce game,1562429699,1562429699,1,0,0,0.0,0,0,0,0,0,
53818973,10,Counter-Strike,russian,Эта игра - одна из лучших в плане командных шутеров и моя первая игра в этом жанре. Одним словом – Легенда. В эту игру будут играть ещё очень долго,1562434037,1562434037,1,0,0,0.464037150144577,0,1,0,0,0,
53820187,10,Counter-Strike,romanian,Cel mai smecher,1562434693,1562434693,1,1,0,0.523809552192688,0,1,0,0,0,
53824818,10,Counter-Strike,russian,"Это классика, это играть надо!",1562437168,1562437168,1,0,0,0.0,0,1,0,0,0,
53825340,10,Counter-Strike,polish,Najlepsza część serii Counter-Strike zaraz po Counter-Strike Source. Nie ma rusków i można odpocząć na VACakcjach. Polecam. 9/10,1562437487,1562437487,1,1,0,0.5,0,0,0,0,0,
53825910,10,Counter-Strike,english,legd,1562437810,1562437810,1,0,0,0.0,0,1,0,0,0,
53829317,10,Counter-Strike,french,...................,1562439687,1562439687,1,1,0,0.5,0,1,1,0,0,
53835355,10,Counter-Strike,brazilian,Melhor jogo !,1562443206,1606433250,1,0,0,0.0,0,0,0,0,0,
53835940,10,Counter-Strike,english,cel mai frumos joc : ),1562443567,1562443567,1,1,0,0.523809552192688,0,0,0,0,0,
53841019,10,Counter-Strike,turkish,Allah,1562446626,1673996327,1,1,0,0.496240615844727,0,1,0,0,0,
53843827,10,Counter-Strike,english,nsns,1562448392,1562448392,1,0,0,0.0,0,0,0,0,0,
53845059,10,Counter-Strike,english,old and best,1562449192,1562449192,1,1,0,0.523809552192688,0,0,0,0,0,
53845818,10,Counter-Strike,russian,Без комментариев...,1562449720,1562449720,1,0,0,0.0,0,1,0,0,0,
53848229,10,Counter-Strike,russian,олдд,1562451358,1562451358,1,0,0,0.0,0,1,0,0,0,
53849227,10,Counter-Strike,russian,"Игра - классика. Олдфаги оценят, молодёжь не шарит!",1562452075,1562452075,1,34,13,0.72037672996521,0,1,0,0,0,
53849314,10,Counter-Strike,english,I like this game <3  ,1562452129,1562452129,1,0,0,0.0,0,0,0,0,0,
53850670,10,Counter-Strike,russian,Самый крутой шутер былых времён. Как не зайду одна ностальгия!,1562453202,1562453202,1,0,0,0.0,0,1,1,0,0,
53853050,10,Counter-Strike,english,<333333,1562455110,1562455110,1,0,0,0.0,0,1,0,0,0,
53861321,10,Counter-Strike,english,"EPIC GAME, A CLASSIC!",1562462282,1562462282,1,0,0,0.0,0,1,0,0,0,
53864222,10,Counter-Strike,brazilian,jogo maravilhoso puta merda,1562464953,1562464953,1,0,0,0.0,0,0,0,0,0,
53868737,10,Counter-Strike,spanish,gg gamr,1562469111,1562469111,1,0,0,0.0,0,0,0,0,0,
53870012,10,Counter-Strike,schinese,happy birthday,1562470232,1562470232,1,2,0,0.523809552192688,0,0,0,0,0,
53876992,10,Counter-Strike,english,10/10 would play again,1562476678,1562476678,1,0,0,0.0,0,0,0,0,0,
53879992,10,Counter-Strike,english,Art,1562479604,1562479604,1,0,0,0.476190477609634,0,1,1,0,0,
53881389,10,Counter-Strike,schinese,经典的fps游戏，玩起来有种童年的感觉,1562480843,1562480843,1,3,0,0.546755731105804,0,1,0,0,0,
53883543,10,Counter-Strike,spanish,Nunca va a morir el 1.6 ♥,1562482735,1562482735,1,2,0,0.545454561710358,0,1,0,0,0,
53884915,10,Counter-Strike,russian,Та самая КОНТЕР СТРУК,1562483879,1562483879,1,0,1,0.0,0,1,0,0,0,
53886881,10,Counter-Strike,english,this is a great game... Got it and 2 others for a dollar. Thanks gabe,1562485465,1562485465,1,0,0,0.0,0,1,0,0,0,
53901673,10,Counter-Strike,portuguese,Classio,1562495518,1562495518,1,0,0,0.0,0,0,0,0,0,
53909084,10,Counter-Strike,russian,игра супер советую!,1562500336,1562500336,1,1,0,0.52173912525177,0,1,0,0,0,
53909243,10,Counter-Strike,english,PZDA BAJSEI LIUX GAME PISU KIEKWIENA DIENA KIEKWIENA NAKTY,1562500438,1597419788,1,0,0,0.0,0,1,0,0,0,
53910539,10,Counter-Strike,english,sdafag;.a,1562501163,1562501163,1,0,0,0.0,0,1,0,0,0,
53914111,10,Counter-Strike,schinese,我想知道，有服务器吗 一个人玩好孤单哦。。。。。,1562503466,1562503466,1,1,0,0.523809552192688,0,1,0,0,0,
53915860,10,Counter-Strike,romanian,Good joc,1562504564,1562504564,1,0,0,0.0,0,1,0,0,0,
53926008,10,Counter-Strike,russian,vvv,1562510542,1575395272,1,0,0,0.0,0,0,0,0,0,
53932263,10,Counter-Strike,russian,Топчег))))),1562514268,1562514268,1,0,0,0.0,0,1,0,0,0,
53933227,10,Counter-Strike,russian,"Ну это типо офигенная легенда, Меньше слов больше часов, Крутая",1562514732,1669181517,1,2,0,0.545454561710358,0,1,0,0,0,
53936493,10,Counter-Strike,russian,"Старая но очень хорошая игра , всем советую!",1562516451,1562516451,1,0,0,0.0,0,1,1,0,0,
53945455,10,Counter-Strike,russian,"Мне одному интересно сколько тысяч часов было бы, если бы я играл онли со стима)",1562529840,1565420460,1,1,1,0.523809552192688,0,1,0,0,0,
53956667,10,Counter-Strike,russian,"Вернулся на несколько лет в ту самую атмосферу, спасибо!",1562571882,1562571882,1,4,1,0.56521737575531,0,0,0,0,0,
53960375,10,Counter-Strike,russian,Very good games! I am play the game 5 old,1562585127,1562585127,1,1,0,0.523809552192688,0,1,1,0,0,
53963493,10,Counter-Strike,english,good old memories...,1562594257,1562594257,1,0,0,0.0,0,0,0,0,0,
53968811,10,Counter-Strike,finnish,gOOD GÄME,1562608379,1562608379,1,0,0,0.0,0,1,0,0,0,
53970382,10,Counter-Strike,russian,"Отвратительная стрельба, множество читеров и дичайший дизбаланс",1562612668,1562612668,0,1,1,0.523809552192688,0,0,1,0,0,
53970854,10,Counter-Strike,russian,Одним словом (ГОВНО),1562613812,1562613812,1,0,0,0.0,0,0,0,0,0,
53976863,10,Counter-Strike,brazilian,gasoso,1562632528,1562632528,1,0,1,0.0,0,1,0,0,0,
53978569,10,Counter-Strike,brazilian,"jogo raro, não posso perde essa promoção kkkk... ruim que tem q adicionar bot. mais isso é facil, é só procurar no yt como adicionar bot no cs 1.6 da steam facil d mais e o arquivo é leve!",1562639639,1562639702,1,0,0,0.0,0,1,0,0,0,
53978900,10,Counter-Strike,schinese,怎么加机器人啊？？？？？？,1562641106,1562641106,1,25,23,0.656330823898315,0,1,0,0,0,
53979909,10,Counter-Strike,russian,top games ,1562645462,1562645462,1,0,0,0.0,0,1,0,0,0,
53982647,10,Counter-Strike,schinese,游戏的可玩性包括很多方面了 首先就是画面了，尽量做到逼真，动态效果好，这点佩服孤岛危机 其次游戏真实性，如红警，总不能坦克让士兵三下给敲爆了吧，学学英雄连往后的游戏，士兵打坦克就是不掉血 第三游戏的风格了，每个游戏都有自己的风格，多少有点特色 第四游戏的操作性，太复杂太简单都不会吸引人，太简单让人玩过不想玩，太复杂好久玩不懂，丢失玩家 第五游戏的自由度，现在的玩家一般都喜欢自由度高的游戏，如侠盗猎车手，但是如翡翠帝国每一步都规定好的，玩起来很无聊，几下打死都规定，服了 第六游戏的平衡性，即时战略和RPG游戏很重要的一点，如果魔兽里人族极度变态，谁还会玩别的族，那游戏还有什么竞技乐趣呢 第七游戏的耐玩性，一般来说RPG游戏玩通了之后顶多在玩一两遍，而即时战略往往人们会反复玩，练个技术，这样的游戏让玩家有提高的过程，并且支持多人对战，增加趣味性,1562656817,1562656817,1,1,1,0.515625,0,0,0,0,0,
53983995,10,Counter-Strike,schinese,听我说 Windows是可以完美运行的！如果你打开游戏就黑屏，就把屏幕分辨率改成1024x768就能进去了，进去视频设置调成宽屏幕，显示模式换成窗口化，然后就可以调回分辨率了，还有就是进游戏几秒后闪退的，输入法换成英语的就好了。,1562661701,1562661701,1,5,0,0.561154842376709,0,0,0,0,0,
53990141,10,Counter-Strike,russian,Игра для стареньких,1562681879,1562681879,1,0,0,0.0,0,1,0,0,0,
